,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Block Name,Block ID,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable,Infinitely Automatically Farmable,,Has an Item Form,,Block Entity,Mob Spawnable On,Mob Spawnable Inside,Warden Spawnable On,Spider Spawnable Under,Light Level,Blast Resistance,Hardness,Mining Tool,Mining Level Required,Can Drop Itself,,,Insta-Mineable In Survival,Can be Waterlogged,Gets Flushed,Has Collision,Can Have a Full Block Collision,Has a Mining Hitbox,Can Have a Full Block Mining Hitbox,Can be Immovable,Disappears when Pushed,Transmits Redstone,Launches Minecart,Can Suffocate,Obeys Gravity,Requires Support Block to Place,Requires Support Block to Exist,Flammable,Catches Fire from Lava,Transparent,Filters Sky Light,Beacon can Bypass,Chest Openable Under,Tramples Farmland,Causes Damage,Fall Damage Amplification,Note Block Sound,Opens a GUI,GUI Stores Items,Rotation Availability,Can Change Block State,
,Bamboo Pressure Plate,bamboo_pressure_plate,1.20 Experimental 22w42a,959,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Axe,0,TRUE,TRUE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,FALSE,FALSE,1,TRUE,262
,Bamboo Button,bamboo_block,1.20 Experimental 22w42a,960,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Axe,0,TRUE,TRUE,TRUE,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,12,TRUE,263
,Bamboo Mosaic,bamboo_mosaic,1.20 Experimental 22w42a,961,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,FALSE,264
,Bamboo Mosaic Slab,bamboo_mosaic_slab,1.20 Experimental 22w42a,962,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,265
,Bamboo Mosaic Stairs,bamboo_mosaic_stairs,1.20 Experimental 22w42a,963,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,266
,Pale Oak Log,pale_oak_log,1.21.4 Experimental 24w40a,1061,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,267
,Creaking Heart,creaking_heart,1.21.4 Experimental 24w40a,1062,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,Yes,No,Yes,FALSE,0,10,10,Axe,0,FALSE,FALSE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,268
,Pale Oak Wood,pale_oak_wood,1.21.4 Experimental 24w40a,1063,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,269
,Stripped Pale Oak Log,stripped_pale_oak_log,1.21.4 Experimental 24w40a,1064,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,270
,Stripped Pale Oak Wood,stripped_pale_oak_wood,1.21.4 Experimental 24w40a,1065,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,271
,Pale Oak Planks,pale_oak_planks,1.21.4 Experimental 24w40a,1066,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,FALSE,272
,Pale Oak Slab,pale_oak_slab,1.21.4 Experimental 24w40a,1067,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,273
,Pale Oak Stairs,pale_oak_stairs,1.21.4 Experimental 24w40a,1068,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,274
,Pale Oak Fence,pale_oak_fence,1.21.4 Experimental 24w40a,1069,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,TRUE,275
,Pale Oak Fence Gate,pale_oak_fence_gate,1.21.4 Experimental 24w40a,1070,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Depends,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,276
,Pale Oak Door,pale_oak_door,1.21.4 Experimental 24w40a,1071,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Yes,No,TRUE,0,3,3,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,277
,Pale Oak Trapdoor,pale_oak_trapdoor,1.21.4 Experimental 24w40a,1072,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Depends,Depends,TRUE,0,3,3,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,278
,Pale Oak Shelf,pale_oak_shelf,1.21.9 25w31a,1115,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,No,No,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,4,TRUE,279
,Pale Oak Sign,pale_oak_sign,1.21.4 Experimental 24w40a,1073,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,TRUE,FALSE,16,TRUE,280
,Pale Oak Wall Sign,pale_oak_wall_sign,1.21.4 Experimental 24w40a,1074,FALSE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,TRUE,FALSE,4,TRUE,281
,Pale Oak Hanging Sign,pale_oak_hanging_sign,1.21.4 Experimental 24w40a,1075,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,TRUE,FALSE,16,TRUE,282
,Pale Oak Wall Hanging Sign,pale_oak_wall_hanging_sign,1.21.4 Experimental 24w40a,1076,FALSE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,TRUE,FALSE,4,TRUE,283
,Pale Oak Pressure Plate,pale_oak_pressure_plate,1.21.4 Experimental 24w40a,1077,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Axe,0,TRUE,TRUE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,FALSE,FALSE,1,TRUE,284
,Pale Oak Button,pale_oak_button,1.21.4 Experimental 24w40a,1078,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Axe,0,TRUE,TRUE,TRUE,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,12,TRUE,285
,Warped Stem,warped_stem,1.16 20w06a,683,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,286
,Warped Hyphae,warped_hyphae,1.16 20w10a,734,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,287
,Stripped Warped Stem,stripped_warped_stem,1.16 20w06a,684,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,288
,Stripped Warped Hyphae,stripped_warped_hyphae,1.16 20w10a,735,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,289
,Warped Planks,warped_planks,1.16 20w06a,685,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,FALSE,290
,Warped Slab,warped_slab,1.16 20w06a,686,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,291
,Warped Stairs,warped_stairs,1.16 20w06a,687,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,292
,Warped Fence,warped_fence,1.16 20w06a,688,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,TRUE,293
,Warped Fence Gate,warped_fence_gate,1.16 20w06a,689,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Depends,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,294
,Warped Door,warped_door,1.16 20w06a,690,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Yes,No,TRUE,0,3,3,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,295
,Warped Trapdoor,warped_trapdoor,1.16 20w06a,691,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Depends,Depends,TRUE,0,3,3,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,296
,Warped Shelf,warped_shelf,1.21.9 25w31a,1116,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,No,No,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,4,TRUE,297
,Warped Sign,warped_sign,1.16 20w06a,692,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,TRUE,FALSE,16,TRUE,298
,Warped Wall Sign,warped_wall_sign,1.16 20w06a,693,FALSE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,TRUE,FALSE,4,TRUE,299
,Warped Hanging Sign,warped_hanging_sign,1.20 Experimental 22w42a,964,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,TRUE,FALSE,16,TRUE,300
,Warped Wall Hanging Sign,warped_wall_hanging_sign,1.20 Experimental 22w42a,965,FALSE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,TRUE,TRUE,No,Yes,No,TRUE,0,1,1,Axe,0,TRUE,TRUE,TRUE,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,No,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,TRUE,FALSE,4,TRUE,301
,Warped Pressure Plate,warped_pressure_plate,1.16 20w06a,694,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Axe,0,TRUE,TRUE,TRUE,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,N/A,Bass,FALSE,FALSE,1,TRUE,302
,Warped Button,warped_button,1.16 20w06a,695,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,FALSE,0,0.5,0.5,Axe,0,TRUE,TRUE,TRUE,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,12,TRUE,303
,Crimson Stem,crimson_stem,1.16 20w06a,696,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,304
,Crimson Hyphae,crimson_hyphae,1.16 20w10a,736,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,305
,Stripped Crimson Stem,stripped_crimson_stem,1.16 20w06a,697,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,306
,Stripped Crimson Hyphae,stripped_crimson_hyphae,1.16 20w10a,737,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,2,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,3,TRUE,307
,Crimson Planks,crimson_planks,1.16 20w06a,698,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,FALSE,308
,Crimson Slab,crimson_slab,1.16 20w06a,699,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,309
,Crimson Stairs,crimson_stairs,1.16 20w06a,700,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,310
,Crimson Fence,crimson_fence,1.16 20w06a,701,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,1,TRUE,311
,Crimson Fence Gate,crimson_fence_gate,1.16 20w06a,702,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Depends,No,TRUE,0,3,2,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,100%,Bass,FALSE,FALSE,2,TRUE,312
,Crimson Door,crimson_door,1.16 20w06a,703,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Yes,No,TRUE,0,3,3,Axe,0,TRUE,TRUE,TRUE,FALSE,No,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,313
,Crimson Trapdoor,crimson_trapdoor,1.16 20w06a,704,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,Depends,Depends,TRUE,0,3,3,Axe,0,TRUE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Bass,FALSE,FALSE,8,TRUE,314
